item,verb,noun,condition,iRT_AJT,verb_delta_cos,verb_pool_size,verb_apd,verb_n_clusters,verb_samd,noun_delta_cos,noun_pool_size,noun_apd,noun_n_clusters,noun_x_source
smear blood,smear,blood,Productive,1217.47826086957,0.9542034268379211,50.0,0.4053366482257843,2.0,0.3778989315032959,0.9778509736061096,97.0,0.15262287855148315,2.0,
smell perfume,smell,perfume,Productive,986.434782608696,0.9726533889770508,84.0,0.15211768448352814,2.0,0.19169169664382935,0.986029863357544,34.0,0.13298527896404266,2.0,
soften skin,soften,skin,Productive,966.130434782609,0.9331896901130676,95.0,0.3089483678340912,2.0,0.39406365156173706,0.9846988916397095,97.0,0.1979772001504898,2.0,
sow crops,sow,crop,Productive,1267.65217391304,0.9759106636047363,66.0,0.3956257104873657,2.0,0.41445133090019226,0.9949284791946411,94.0,0.24073892831802368,3.0,
spark flame,spark,flame,Productive,1135.34782608696,0.9289270043373108,96.0,0.36438223719596863,2.0,0.37036287784576416,0.9731454253196716,81.0,0.2831198275089264,3.0,
spew lava,spew,lava,Productive,1273.04347826087,0.9221906065940857,80.0,0.3110415041446686,2.0,0.4403795897960663,0.9905092120170593,10.0,0.1606380194425583,2.0,
spill tea,spill,tea,Productive,982.608695652174,0.9642252326011658,81.0,0.3623148500919342,2.0,0.3262806236743927,0.9685676097869873,89.0,0.18794885277748108,2.0,
spin thread,spin,thread,Productive,1156.86956521739,0.973044216632843,83.0,0.27662739157676697,2.0,0.33093440532684326,0.9219232797622681,94.0,0.20455200970172882,2.0,
spread butter,spread,butter,Productive,808.130434782609,0.9145016074180603,92.0,0.2609230875968933,2.0,0.3709113597869873,0.9927152395248413,81.0,0.24482014775276184,2.0,
steer boats,steer,boat,Productive,1139.39130434783,0.9537675380706787,72.0,0.2882675528526306,2.0,0.3903389275074005,0.9908119440078735,97.0,0.1457562893629074,2.0,
stifle yawns,stifle,yawn,Productive,1125.65217391304,0.842251181602478,97.0,0.4531988203525543,2.0,0.5818433165550232,0.998420238494873,8.0,0.11153554916381836,2.0,
stimulate brain,stimulate,brain,Productive,1015.73913043478,0.9446322321891785,99.0,0.3318272531032562,3.0,0.4574008285999298,0.9822703003883362,91.0,0.22059868276119232,2.0,
stir mixtures,stir,mixture,Productive,1626.0,0.8775351047515869,90.0,0.2982219159603119,2.0,0.6795739531517029,0.984176516532898,93.0,0.19870497286319733,2.0,
strain muscles,strain,muscle,Productive,1040.73913043478,0.9416470527648926,80.0,0.33582618832588196,2.0,0.3849359154701233,0.9877257347106934,94.0,0.24680057168006897,2.0,
strike targets,strike,target,Productive,1048.91304347826,0.9486637115478516,91.0,0.25785934925079346,2.0,0.34219521284103394,0.9394849538803101,95.0,0.17184661328792572,2.0,
string beads,string,bead,Productive,1226.4347826087,0.9254767298698425,45.0,0.30275657773017883,2.0,0.37020283937454224,0.9875350594520569,74.0,0.17286452651023865,2.0,
swallow pills,swallow,pill,Productive,1015.17391304348,0.963919997215271,94.0,0.25711578130722046,4.0,0.28567832708358765,0.9869217276573181,86.0,0.2509125769138336,3.0,
sway hips,sway,hip,Productive,1055.65217391304,0.8142229914665222,68.0,0.2508239150047302,2.0,0.4767948389053345,0.9562150835990906,91.0,0.17675228416919708,2.0,
sweeten milk,sweeten,milk,Productive,1335.82608695652,0.8745530247688293,27.0,0.24931848049163818,2.0,0.5181525945663452,0.9648047089576721,95.0,0.20075225830078125,2.0,
swing axes,swing,axe,Productive,1054.78260869565,0.9716181755065918,83.0,0.29367339611053467,3.0,0.32795342803001404,0.9961628913879395,40.0,0.16719497740268707,2.0,
taste beer,taste,beer,Productive,1122.30434782609,0.9764964580535889,84.0,0.24399293959140778,2.0,0.3446847200393677,0.9881671667098999,93.0,0.16665130853652954,2.0,
throw rocks,throw,rock,Productive,893.95652173913,0.9490746259689331,95.0,0.2706872820854187,2.0,0.3300688564777374,0.9367102384567261,90.0,0.18243055045604706,2.0,
twist ankles,twist,ankle,Productive,1155.47826086957,0.940054714679718,87.0,0.23958313465118408,3.0,0.3194611072540283,0.9819213151931763,69.0,0.14148738980293274,2.0,
unearth fossils,unearth,fossil,Productive,1002.86956521739,0.9491746425628662,77.0,0.41758474707603455,2.0,0.5032898187637329,0.9954677820205688,36.0,0.16700737178325653,2.0,
unleash dogs,unleash,dog,Productive,1036.73913043478,0.9270094633102417,95.0,0.5064699649810791,2.0,0.3204036056995392,0.9695714116096497,98.0,0.1414978951215744,3.0,
unlock phones,unlock,phone,Productive,944.0,0.9348440766334534,90.0,0.19675494730472565,2.0,0.46336933970451355,0.9588392972946167,97.0,0.2326808124780655,2.0,
weave baskets,weave,basket,Productive,1108.60869565217,0.960915207862854,83.0,0.26582223176956177,3.0,0.4883783459663391,0.9663065671920776,88.0,0.1632426232099533,3.0,
