item,verb,noun,condition,iRT_AJT,verb_delta_cos,verb_pool_size,noun_delta_cos,noun_pool_size,noun_x_source,noun_concreteness,snd3,snd10,snd25,snd50,logDice,collocation_freq,VerbFreq,NounFreq,verb_synset_len
smell perfume,smell,perfume,Productive,986.434782608696,0.9726533889770508,84.0,0.986029863357544,34.0,,4.66,55.569,89.838,104.75,115.12,8.16,2919,430978,214649,5
soften skin,soften,skin,Productive,966.130434782609,0.9331896901130676,95.0,0.9846988916397096,97.0,,4.79,169.4,240.84,276.4,299.07,7.29,6229,430978,214649,7
sow crops,sow,crop,Productive,1267.65217391304,0.9759106636047364,66.0,0.9949284791946412,94.0,,4.24,130.57,186.59,211.43,228.77,7.86,5292,430978,214649,3
spark flame,spark,flame,Productive,1135.34782608696,0.9289270043373108,96.0,0.9731454253196716,81.0,,4.67,93.561,139.75,160.47,173.35,5.68,1100,430978,214649,2
spew lava,spew,lava,Productive,1273.04347826087,0.9221906065940856,80.0,0.9905092120170592,10.0,,4.82,51.592,80.948,94.118,103.81,8.65,1017,430978,214649,3
spill tea,spill,tea,Productive,982.608695652174,0.9642252326011658,81.0,0.9685676097869872,89.0,,4.69,72.271,138.59,176.5,199.08,7.25,2698,430978,214649,6
spin thread,spin,thread,Productive,1156.86956521739,0.973044216632843,83.0,0.921923279762268,94.0,,4.83,107.65,151.12,168.96,178.79,6.18,3016,430978,214649,8
spread butter,spread,butter,Productive,808.130434782609,0.9145016074180604,92.0,0.9927152395248412,81.0,,4.9,82.231,121.23,150.89,172.76,5.83,3074,430978,214649,10
steer boats,steer,boat,Productive,1139.39130434783,0.9537675380706788,72.0,0.9908119440078736,97.0,,4.93,139.06,231.66,280.03,308.1,6.66,4211,430978,214649,3
stifle yawns,stifle,yawn,Productive,1125.65217391304,0.842251181602478,97.0,0.998420238494873,8.0,,4.46,18.722,27.298,31.233,33.744,9.5,2819,430978,214649,4
stimulate brain,stimulate,brain,Productive,1015.73913043478,0.9446322321891784,99.0,0.9822703003883362,91.0,,4.69,120.31,177.7,212.37,233.34,7.3,6316,430978,214649,7
stir mixtures,stir,mixture,Productive,1626.0,0.8775351047515869,90.0,0.984176516532898,93.0,,3.79,173.87,303.73,353.4,380.67,8.65,9045,430978,214649,8
strain muscles,strain,muscle,Productive,1040.73913043478,0.9416470527648926,80.0,0.9877257347106934,94.0,,4.5,91.117,146.9,175.42,195.22,7.5,3831,430978,214649,9
strike targets,strike,target,Productive,1048.91304347826,0.9486637115478516,91.0,0.93948495388031,95.0,,4.11,165.15,233.33,258.47,270.78,6.88,9230,430978,214649,21
string beads,string,bead,Productive,1226.4347826087,0.9254767298698424,45.0,0.9875350594520568,74.0,,4.9,78.865,116.76,135.58,146.95,8.52,2491,430978,214649,7
swallow pills,swallow,pill,Productive,1015.17391304348,0.963919997215271,94.0,0.986921727657318,86.0,,4.72,68.926,102.91,117.35,126.85,9.06,8107,430978,214649,8
sway hips,sway,hip,Productive,1055.65217391304,0.8142229914665222,68.0,0.9562150835990906,91.0,,4.21,90.411,129.73,157.16,172.63,8.23,2465,430978,214649,4
sweeten milk,sweeten,milk,Productive,1335.82608695652,0.8745530247688293,27.0,0.964804708957672,95.0,,4.92,85.509,138.38,171.6,192.28,7.48,2791,430978,214649,2
swing axes,swing,axe,Productive,1054.78260869565,0.9716181755065918,83.0,0.9961628913879396,40.0,,5.0,40.835,66.546,80.921,90.326,8.05,3085,430978,214649,13
taste beer,taste,beer,Productive,1122.30434782609,0.9764964580535888,84.0,0.9881671667099,93.0,,4.88,74.267,130.5,169.11,196.91,7.03,4437,430978,214649,6
throw rocks,throw,rock,Productive,893.95652173913,0.9490746259689332,95.0,0.936710238456726,90.0,,4.91,225.91,320.78,360.6,382.06,8.39,33109,430978,214649,15
twist ankles,twist,ankle,Productive,1155.47826086957,0.940054714679718,87.0,0.9819213151931764,69.0,,4.81,41.848,89.279,125.92,148.97,9.05,5585,430978,214649,10
unearth fossils,unearth,fossil,Productive,1002.86956521739,0.9491746425628662,77.0,0.9954677820205688,36.0,,4.9,82.179,119.57,136.28,145.49,7.14,748,430978,214649,2
unleash dogs,unleash,dog,Productive,1036.73913043478,0.9270094633102416,95.0,0.9695714116096495,98.0,,4.85,104.88,197.0,248.38,285.38,5.41,2534,430978,214649,3
unlock phones,unlock,phone,Productive,944.0,0.9348440766334534,90.0,0.9588392972946168,97.0,,4.86,132.03,200.44,232.92,254.36,8.28,18357,430978,214649,3
weave baskets,weave,basket,Productive,1108.60869565217,0.960915207862854,83.0,0.9663065671920776,88.0,,5.0,92.968,137.82,159.48,172.87,8.54,7588,430978,214649,4
